,Product_id,Product_Name,Product_Title,Product_Description,Product_Allergens,ServingSize,Energy kJ_uom,Energy kJ_per100g,Energy kJ_perPortion,Energy kJ_percent,Energy kcal_uom,Energy kcal_per100g,Energy kcal_perPortion,Energy kcal_percent,Fat_uom,Fat_per100g,Fat_perPortion,Fat_percent,of which Saturates_uom,of which Saturates_per100g,of which Saturates_perPortion,of which Saturates_percent,Carbohydrate_uom,Carbohydrate_per100g,Carbohydrate_perPortion,Carbohydrate_percent,of which Sugars_uom,of which Sugars_per100g,of which Sugars_perPortion,of which Sugars_percent,Protein_uom,Protein_per100g,Protein_perPortion,Protein_percent,Salt_uom,Salt_per100g,Salt_perPortion,Salt_percent
31,331,Chilli Tortilla Chips,Chilli Tortilla Chips | Greggs,Try these in one of our shops,Wheat,40g,kJ,2022,809,0.00,kcal,482,193,0.10,g,22,8.7,0.12,g,1.9,0.7,0.04,g,65,26,0.00,g,5,2,0.02,g,5.8,2.3,0.00,g,1.7,0.7,0.12
32,344,Sparkling Cherryade,Sparkling Cherryade | Greggs,Try this in one of our shops,N/A,500ml,kJ,16,4,0.00,kcal,4,20,0.01,g,0,0,0.00,g,0,0,0.01,g,0,2.4,0.00,g,0,2.3,0.03,g,0,0,0.00,g,0.04,0.20,0.03
33,345,Sparkling Mango and Pineapple,Sparkling Mango and Pineapple | Greggs,Try this in one of our shops,N/A,500ml,kJ,13,65,0.00,kcal,3,15,0.01,g,0,0,0.00,g,0,0,0.00,g,0,2.1,0.00,g,0,1.9,0.02,g,0,0,0.00,g,0.03,0.20,0.03
34,355,Branded Drinks,Branded Drinks | Greggs,Try these in one of our shops,N/A,330ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,30,Ham and Cheese Baguette,Ham and Cheese Baguette | Greggs,"Freshly made ham and cheese baguettes at Greggs, perfect for a hungry lunch.",Wheat,208g,kJ,1075,2236,0.00,kcal,255,530,0.27,g,7.7,16,0.23,g,3.8,7.9,0.40,g,32,66,0.00,g,1.4,2.9,0.03,g,14,30,0.00,g,1.3,2.6,0.43
36,31,Mexican Chicken Baguette,Mexican Chicken Baguette | Greggs,Spicy lunchtime sandwiches at Greggs,Wheat,242.5g,kJ,901,2185,0.00,kcal,214,519,0.26,g,4,9.7,0.14,g,1.6,3.8,0.27,g,33,80,0.00,g,5.7,14,0.16,g,11,28,0.00,g,1.3,3.2,0.53
37,33,Roast Chicken Mayonnaise Baguette,Roast Chicken Mayonnaise Baguette | Greggs,"Hungry for lunch, look no further than the classic baguette for food on the go",Wheat,232.4g,kJ,894,2078,0.00,kcal,212,493,0.25,g,5.1,12,0.17,g,0.6,1.3,0.07,g,30,69,0.00,g,1.6,3.7,0.04,g,12,27,0.00,g,0.81,1.9,0.32
38,35,Tandoori Chicken Baguette,Chicken Tandoori Baguette | Greggs,Spice up your lunch at Greggs,Wheat,233g,kJ,913,2127,0.00,kcal,216,503,0.25,g,4.8,11,0.16,g,0.6,1.3,0.07,g,31,73,0.00,g,2.7,6.4,0.07,g,12,27,0.00,g,0.82,1.9,0.32
39,32,Tuna Crunch Baguette,Tuna Crunch Baguette | Greggs,Tuna Crunch for lunch at Greggs. Freshly made every day,Wheat,246g,kJ,785,1947,0.00,kcal,186,461,0.23,g,2.7,6.7,0.10,g,0.3,0.8,0.04,g,29,71,0.00,g,2.6,6.5,0.07,g,11,28,0.00,g,0.84,2.1,0.35
40,299,Mature Cheddar Cheese Ploughmans Oval Bite ,Greggs | Cheese Ploughmans Oval Bite,Try one of our freshly prepared sandwiches from your local shop today. ,Wheat,227g,kJ,929,2109,0.00,kcal,221,502,0.25,g,8.8,20,0.29,g,3.7,8.3,0.42,g,25,58,0.00,g,3.2,7.2,0.08,g,8.9,20,0.00,g,0.86,2,0.33
41,21,Chargrill Chicken Oval Bite,Greggs | Chargrill Chicken Oval Bite,All of our sandwiches are made fresh in shops every day.,Wheat,222g,kJ,843,1871,0.00,kcal,200,444,0.22,g,5.6,12,0.17,g,0.7,1.6,0.08,g,24,54,0.00,g,1.7,3.7,0.04,g,12,27,0.00,g,0.87,1.9,0.32
42,20,Mexican Chicken Oval Bite,Greggs | Mexican Chicken Oval Bite ,All of our sandwiches are made fresh in shops every day.,Wheat,210g,kJ,972,2041,0.00,kcal,231,485,0.24,g,6.3,13,0.19,g,0.8,1.7,0.09,g,31,65,0.00,g,6,13,0.14,g,12,25,0.00,g,1.1,2.4,0.40
43,34,Roast Chicken and Bacon Club Baguette,Roast Chicken Club Baguette | Greggs,Freshly made lunch baguettes from Greggs. Perfect for lunch on the go.,Wheat,249g,kJ,836,2082,0.25,kcal,198,493,0.25,g,4.9,12,0.17,g,0.9,2.3,0.12,g,28,69,0.00,g,2.0,4.9,0.05,g,11,26,0.00,g,0.84,2.1,0.35
44,349,Mature Cheddar Cheese Salad Baguette,Mature Cheddar Cheese Salad Baguette | Greggs,Try these in one of our shops,Wheat,223g,kJ,912,2034,0.00,kcal,216,482,0.24,g,6.8,15,0.21,g,3.4,7.6,0.38,g,30,67,0.00,g,1.5,3.4,0.04,g,8.6,19,0.00,g,0.79,1.8,0.30
45,69,Jammy Heart Biscuit,Jammy Heart,,Wheat,61g,kJ,1947,1188,0.00,kcal,466,284,0.14,g,23,14,0.20,g,13,8,0.40,g,60,37,0.00,g,22,14,0.16,g,5.3,3.2,0.00,g,0.54,0.33,0.06
46,78,Caramel Custard Doughnut,Caramel Custard Doughnut,Try our caramel custard doughnut in your local shop today! ,Wheat,103g,kJ,1325,1365,0.00,kcal,316,325,0.16,g,13,13,0.19,g,5.5,5.7,0.29,g,44,46,0.00,g,23,24,0.27,g,4.7,4.8,0.00,g,0.65,0.67,0.11
47,79,Yum Yum,Yum Yum,,Wheat,73g,kJ,1685,1230,0.00,kcal,403,294,0.15,g,23,17,0.24,g,12.0,8.6,0.43,g,44.0,32.0,0.00,g,19,14,0.16,g,4.9,3.5,0.00,g,0.19,0.14,0.02
48,80,Jam Doughnut,Jam Doughnut,,Wheat,73g,kJ,1398,1021,0.00,kcal,335,245,0.12,g,14,10,0.14,g,5.4,4,0.20,g,45,33,0.00,g,16,12,0.13,g,6.5,4.8,0.00,g,0.7,0.51,0.09
49,81,Gingerbread Man,Gingerbread Man,,Wheat,42g,kJ,1796,754,0.00,kcal,426,179,0.09,g,11,4.5,0.06,g,3.8,1.6,0.08,g,75,32,0.00,g,40,17,0.19,g,7.1,3.0,0.00,g,1.6,0.65,0.11
50,84,Cookies,Greggs | Cookies,,Wheat,75g,kJ,2080,1560,0.00,kcal,498,373,0.19,g,27,20,0.29,g,11,8.4,0.42,g,56,42,0.00,g,39,29,0.32,g,6.5,4.9,0.00,g,1.1,0.8,0.13
51,87,Triple Chocolate Doughnut,Greggs | Triple Chocolate Doughnut,,Wheat,90.7g,kJ,1578,1431,0.00,kcal,376,341,0.00,g,16,15,0.21,g,7,6.3,0.32,g,52,47,0.00,g,31,29,0.32,g,5.3,4.8,0.00,g,0.62,0.56,0.09
52,161,Triple Belgian Chocolate Brownies,Greggs | Gluten Free Triple Belgian Chocolate Brownies,Try our new gluten free triple Belgian chocolate brownies today.,Milk,21g,kJ,1932,406,0.00,kcal,462,97,0.05,g,24,5.1,0.07,g,15,3.1,0.16,g,54,11,0.00,g,44,9.1,0.10,g,5.4,1.1,0.00,g,0.42,0.09,0.02
53,351,Novelty Biscuit,Spikey Mikey | Greggs,Try these in one of our shops,Wheat,37.9,kJ,2152,816,0.00,kcal,516,196,0.10,g,27,10,0.14,g,11,4.3,0.22,g,58,22,0.00,g,25,9.3,0.10,g,6.1,2.3,0.00,g,0.55,0.21,0.04
54,245,Pink Jammie,Greggs | Pink Jammie ,Try one of our pink jammies from your local shop today. ,Wheat,97.7g,kJ,1384,1352,0.00,kcal,329,321,0.16,g,9.5,9.3,0.13,g,4.1,4,0.20,g,56,55,0.21,g,32,32,0.36,g,5,4.9,0.00,g,0.55,0.54,0.09
55,73,Sugar Strand Doughnut,Sugar Strand Doughnut,,Wheat,71g,kJ,1562,1109,0.00,kcal,371,263,0.13,g,13,9.5,0.14,g,6.4,4.5,0.23,g,57,40,0.00,g,35,25,0.28,g,5.5,3.9,0.00,g,0.6,0.43,0.07
56,5,Simply Creamy Porridge,Greggs | Original Porridge,"Breakfast at Greggs, served everyday until 11am",Milk,237g,kJ,478,1133,0.00,kcal,113,268,0.13,g,2.0,4.8,0.07,g,0.6,1.5,0.08,g,21,51,0.00,g,4.3,10,0.11,g,3.2,7.7,0.00,g,0.07,0.17,0.03
57,6,Golden Syrup Porridge,Golden Syrup Porridge | Greggs,Kick start your day with our syrup flavoured porridge. Read more about our delicious breakfast range here.,Milk,237g,kJ,481,1140,0.00,kcal,114,270,0.14,g,2,4.7,0.07,g,0.6,1.4,0.07,g,22,52,0.00,g,4.4,10,0.11,g,3.1,7.3,0.00,g,0.06,0.14,0.02
58,240,Sparkling Raspberry Lemonade ,Greggs | Raspberry Lemonade,Try our new raspberry lemonade in your local shop today.,N/A,500ml,kJ,10,50,0.00,kcal,2,10,0.01,g,0,0,0.00,g,0,0,0.00,g,0,0.6,0.00,g,0,0.6,0.01,g,0,0,0.00,g,0.04,0.2,0.03
59,55,Apple Juice,Greggs | Apple Juice,"Greggs Apple Juice, one of your five a day and absolutely Fairtrade. How Refreshing. ",N/A,150ml,kJ,200,300,0.00,kcal,47,71,0.12,g,0,0,0.00,g,0,0,0.00,g,11,17,0.00,g,11,17,0.19,g,0,0.5,0.00,g,0,0,0.00
60,52,Sparkling Cloudy Lemonade,Greggs | Cloudy Lemonade,Refreshing low calorie drinks under 5 calories,Sulphites,500ml,kJ,11,55,0.00,kcal,3,15,0.01,g,0,0,0.00,g,0,0.5,0.01,g,0,0,0.00,g,0,0.5,0.01,g,0,0,0.00,g,0,0,0.00
61,48,Still Lemon and Lime Water,Greggs | Lemon and Lime Water,Greggs drink range is full of refreshing low calorie drinks.,N/A,500ml,kJ,5,25,0.00,kcal,1,5,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00
62,49,Still Strawberry Water,Greggs | Strawberry Water,Quench your thirst with Greggs low calorie Strawberry Water,N/A,500ml,kJ,3,15,0.00,kcal,1,5,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00,g,0,0,0.00
63,54,Orange Juice,Orange Juice,"Fairtrade Orange Juice, tasty and good at Greggs.",N/A,150ml,kJ,198,297,0.00,kcal,46,59,0.03,g,0,0,0.00,g,0,0,0.00,g,10,16,0.00,g,10,16,0.18,g,0.5,0.8,0.00,g,0,0,0.00
